,MATERIAL_DESCRIPTION,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,MAX3042,BOX-33,19,https://www.analog.com/media/en/technical-documentation/data-sheets/max3040-max3045.pdf,
,75176,BOX-33,3,https://www.ti.com/lit/ds/symlink/sn75176a.pdf?ts=1751257740266&ref_url=https%253A%252F%252Fwww.google.com%252F,
,75451,BOX-33,17,https://www.ti.com/lit/ds/symlink/sn75176a.pdf?ts=1751257740266&ref_url=https%253A%252F%252Fwww.google.com%252F,
,MAX3045,BOX-34,13,https://www.analog.com/media/en/technical-documentation/data-sheets/max3040-max3045.pdf,
,NY,BOX-34,5,…,
,A314 ,BOX-34,18,https://bg-electronics.de/datenblaetter/Optokoppler/HCPL-A314J.pdf,
,MAX3058,BOX-34,21,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX3058-MAX3059.pdf,
,TOP234,BOX-34,15,https://www.mouser.com/datasheet/2/328/top232-234-1512691.pdf?srsltid=AfmBOopTKljfPzDBd_RkG5V5Y3iFwkowRhDbnuEg_3SRm7nHmiVm5Nc0,
,MAXX3160,BOX-34,6,https://www.analog.com/media/en/technical-documentation/data-sheets/max3160-max3162.pdf,
,UCC28515,BOX-34,15,https://www.ti.com/lit/ds/symlink/ucc28513.pdf?ts=1751278950596&ref_url=https%253A%252F%252Fwww.google.com%252F,
,FBCF9444 ,BOX-35,13,…,
,DF10 RECTIFIER,BOX-35,50,https://www.vishay.com/docs/88571/dfm.pdf,
,7705AC,BOX-35,10,https://www.ti.com/lit/ds/symlink/tl7705a.pdf?ts=1751262332798&ref_url=https%253A%252F%252Fwww.google.com%252F,
,BE5V,BOX-35,1,…,
,F2012,BOX-35,10,https://www.ti.com/lit/ds/symlink/msp430f2012.pdf?ts=1751279166044&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FMSP430F2012,
,ULN2803,BOX-35,4,https://www.st.com/resource/en/datasheet/uln2801a.pdf,
,MC33363,BOX-35,35,https://www.onsemi.com/pdf/datasheet/mc33363a-d.pdf,
,UC3844,BOX-35,54,https://www.onsemi.com/pdf/datasheet/uc3844-d.pdf,
,7811 = IRF7811,BOX-35,15,https://www.infineon.com/dgdl/irf7811avpbf.pdf?fileId=5546d462533600a40153560898001cf6,
,HC4053 ,BOX-36,32,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4053.pdf,
,75189,BOX-36,20,https://www.ti.com/lit/ds/symlink/sn55189a.pdf?ts=1751263070485&ref_url=https%253A%252F%252Fwww.google.com%252F,
,ULN2004,BOX-36,16,https://www.st.com/resource/en/datasheet/uln2001.pdf,
,MAX1485,BOX-36,15,https://www.analog.com/media/en/technical-documentation/data-sheets/max1481-max1486.pdf,
,UC3844(14PIN),BOX-36,5,https://www.onsemi.com/pdf/datasheet/uc3844-d.pdf,
,UC3842,BOX-36,3,https://www.onsemi.com/download/data-sheet/pdf/uc3842a-d.pdf,
,33153 (8 PIN),BOX-36,10,https://www.onsemi.com/pdf/datasheet/mc33153-d.pdf,
,74HC595D (16 PIN) ,BOX-36,20,https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf,
,LM358 ,BOX-37,21,https://www.onsemi.com/download/data-sheet/pdf/lm358-d.pdf,
,2902,BOX-37,15,https://www.st.com/resource/en/datasheet/lm2902.pdf,
,CD4021 =14021,BOX-37,13,https://www.ti.com/lit/ds/symlink/cd4021b-q1.pdf,
,HEF4013,BOX-37,5,https://assets.nexperia.com/documents/data-sheet/HEF4013B.pdf,
,FAN4803,BOX-37,16,https://www.mouser.com/ds/2/308/FAN4803-1-1191942.pdf?srsltid=AfmBOornIyncmGXJS_v_OkvcR78MKgpbOMjx4cFK6vC4sbnccK5D-pUo,
,4060,BOX-37,15,https://www.ti.com/lit/ds/symlink/cd4060b.pdf?ts=1751279481643&ref_url=https%253A%252F%252Fwww.google.com%252F,
,UC2844(14PIN),BOX-37,5,https://www.ti.com/lit/ds/symlink/uc3842.pdf,
,UC3843,BOX-37,42,https://www.mouser.com/datasheet/2/149/uc3843-309322.pdf?srsltid=AfmBOorYhOQxusNrPmMioyRAxV3j4Gb8bSRNCkkDfpIW38WoVD4XKU8O,
