,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,4.7?F/100V,BOX 4,50,https://4donline.ihs.com/images/VipMasterIC/IC/AVXC/AVXC-S-A0013335498/AVXC-S-A0014059611-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,
,4.7?F/100V,BOX 4,50,https://4donline.ihs.com/images/VipMasterIC/IC/AVXC/AVXC-S-A0013335498/AVXC-S-A0014059611-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,
,220?F/16V,BOX 4,50,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1175.pdf,
,0.47µF/50V,BOX 4,50,https://www.farnell.com/datasheets/3916906.pdf?_gl=1*2mdsu*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,0.47µF/50V,BOX 4,50,https://www.farnell.com/datasheets/3916906.pdf?_gl=1*2mdsu*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,1µF/450V,BOX 4,50,https://www.cde.com/resources/catalogs/CKH_CKE.pdf,
,1000?F/50V ,BOX 4,50,https://www.cde.com/resources/catalogs/ATB.pdf,
,47nF/1500V DC = 47nF/2000V DC,BOX 4,50,,
,100nF/2000V DC ,BOX 4,10,https://www.indiamart.com/proddetail/100nf-2000vdc-el-ci-ar-capacitors-2855365090591.html?srsltid=AfmBOoplGBkGDkgx1eqb0tZAxX44jH-suKHfuGAtP8GxF8MmZl0V3Ol9,
,470?F/250V ,BOX 4,10,https://ampere-electronics.com/product/electrolytic-capacitor-470uf-250v/,
,33µF/250V,BOX 4,100,https://uk.rs-online.com/web/p/aluminium-capacitors/9203059,
,220µF/35V,BOX 4,100,https://www.vishay.com/docs/28395/150crz.pdf,
,220µF/35V,BOX 4,100,https://www.vishay.com/docs/28395/150crz.pdf,
,220µF/35V,BOX 4,100,https://www.vishay.com/docs/28395/150crz.pdf,
