MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
HD74LS00 = 74LS00,I1_7_1,33,https://www.ti.com/lit/ds/symlink/sn74ls00.pdf
HD74L508,I1_7_1,1,https://www.renesas.com/en/document/dst/hd74ls08-datasheet?srsltid=AfmBOorSOL9jjDQX1VvowhBY6zHtW_h9v764Mn14fBKhVlYUc_OT4U_d
4543,I1_7_1,20,https://www.ti.com/lit/ds/symlink/cd4543b.pdf?ts=1751262548312&ref_url=https%253A%252F%252Fwww.google.com%252F
4028,I1_7_2,19,https://www.ti.com/lit/ds/symlink/cd4028b.pdf?ts=1751262566472&ref_url=https%253A%252F%252Fwww.google.com%252F
T74LS08B1,I1_7_2,13,https://www.silicon-ark.co.uk/datasheets/t74ls08b1-datasheet-stmicroelectronics.pdf
74139,I1_7_3,64,https://www.ti.com/lit/ds/symlink/sn54ls139a-sp.pdf?ts=1751262606224&ref_url=https%253A%252F%252Fwww.google.com%252F
ICL8038ACP,I1_7_4,14,https://www.renesas.com/en/document/dst/icl8038-datasheet?srsltid=AfmBOoqnhkG6Iw8b2Bm0N33ezMGmvqy9g-yoa9q6Wxpsnd6wvw-oI0fo
4528,I1_7_4,20,https://assets.nexperia.com/documents/data-sheet/HEF4528B.pdf
UC2845,I1_7_4,21,https://www.mouser.com/datasheet/2/308/uc3844-d-1196439.pdf?srsltid=AfmBOormzLiPA6xUUUbsMsob727e1sTv3O_KPAFpQznnhzKPTADVMsht
SN74LS05,I1_7_5,10,https://www.ti.com/lit/ds/symlink/sn7405.pdf
MC1415,I1_7_5,10,https://www.ti.com/lit/ds/symlink/mc1458.pdf?ts=1751262703196&ref_url=https%253A%252F%252Fwww.google.com%252F
TNY276,I1_7_5,5,https://www.power.com/sites/default/files/documents/tinyswitch-iii_family_datasheet.pdf
HCF4047,I1_7_6,21,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/HCF4047B.pdf
MC1489,I1_7_6,5,https://www.onsemi.com/pdf/datasheet/mc1489-d.pdf
SN74ALS139N,I1_7_6,4,https://www.ti.com/lit/ds/symlink/sn74als139.pdf?ts=1751262787268&ref_url=https%253A%252F%252Fwww.google.com%252F
SN7407,I1_7_7,6,https://users.ece.utexas.edu/~valvano/Datasheets/7407.pdf
LM723,I1_7_7,0,https://www.ti.com/lit/ds/symlink/lm723.pdf
SN74LS00,I1_7_7,16,https://www.ti.com/lit/ds/symlink/sn74ls00.pdf
74HC04N,I1_8_1,47,https://www.ti.com/lit/ds/symlink/sn74hc04.pdf
UC3843,I1_8_1,26,https://www.mouser.com/datasheet/2/149/uc3843-309322.pdf?srsltid=AfmBOoortCE1OojLBpbi_iKahKgYQA7hDWmVUCJedki7Hg8vgb9nMJI2
HEF4049 = CD4049UBE,I1_8_2,19,https://www.ti.com/lit/ds/symlink/cd4049ub.pdf
MAX691CPE,I1_8_2,10,https://www.analog.com/media/en/technical-documentation/data-sheets/max690-max695.pdf
7406 = SN74LS06,I1_8_3,56,https://www.ti.com/lit/ds/symlink/sn74ls06.pdf?ts=1751193980235&ref_url=https%253A%252F%252Fwww.google.com%252F
CD4017,I1_8_4,9,https://www.ti.com/lit/ds/symlink/cd4017b.pdf
TOP234 (5 LEG),I1_8_4,0,https://www.power.com/sites/default/files/documents/topswitch-fx_family_datasheet.pdf
74HC244,I1_8_4,19,https://www.mouser.com/datasheet/2/308/74HC244-D-310411.pdf?srsltid=AfmBOopUIqa6jR2cIBaByw0U2-MjXiTEaF6P2w3xpQX4RPpdcOhSZteX
MC14001BCP,I1_8_5,25,https://www.onsemi.com/download/data-sheet/pdf/mc14001b-d.pdf
HCF4006BE,I1_8_6,10,https://www.pilianidis.gr/images/sync_products/03-HCF4006BE/HCF4006B.pdf
74HC4051,I1_8_6,44,https://www.ti.com/lit/ds/symlink/cd74hc4051-ep.pdf?ts=1751225842477&ref_url=https%253A%252F%252Fwww.google.com.tr%252F
SN75189,I1_8_7,8,https://www.ti.com/lit/ds/symlink/sn55189a.pdf?ts=1751263070485&ref_url=https%253A%252F%252Fwww.google.com%252F
CP1002,I1_8_7,5,https://assets.danfoss.com/documents/latest/366681/BC359076148047en-000201.pdf
MC14073,I1_9_1,29,https://www.onsemi.com/pdf/datasheet/mc14001b-d.pdf
3525,I1_9_1,3,https://www.onsemi.com/download/data-sheet/pdf/sg3525a-d.pdf
MAX485,I1_9_1,9,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX1487-MAX491.pdf
SN74LS138 = HD74LS138,I1_9_2,30,https://www.ti.com/lit/ds/symlink/sn54ls138-sp.pdf?ts=1751219378753&ref_url=https%253A%252F%252Fwww.google.com%252F
93C46,I1_9_2,8,https://ww1.microchip.com/downloads/en/DeviceDoc/doc5140.pdf
MC14011,I1_9_3,21,https://www.onsemi.com/download/data-sheet/pdf/mc14001b-d.pdf
CD4017,I1_9_3,1,https://www.ti.com/lit/ds/symlink/cd4017b.pdf
74HC132N,I1_9_3,11,https://assets.nexperia.com/documents/data-sheet/74HC_HCT132.pdf
CD4543,I1_9_4,9,https://www.ti.com/lit/ds/symlink/cd4543b.pdf?ts=1751262548312&ref_url=https%253A%252F%252Fwww.google.com%252F
TS27L4CN,I1_9_4,1,https://www.st.com/resource/en/datasheet/ts27l4.pdf
3842,I1_9_4,4,https://www.onsemi.com/pdf/datasheet/uc3842b-d.pdf
IRF2110,I1_9_4,3,https://www.infineon.com/dgdl/Infineon-IR2110-DataSheet-v01_00-EN.pdf?fileId=5546d462533600a4015355c80333167e
SN74165N,I1_9_5,15,https://www.ti.com/lit/ds/symlink/sn54ls165a-sp.pdf?ts=1751263384155&ref_url=https%253A%252F%252Fwww.google.com%252F
TDA2595,I1_9_5,3,https://www.limpulsion.fr/upload/docs/TDA2595.PDF
ULN2003,I1_9_5,1,https://www.st.com/resource/en/datasheet/uln2001.pdf
TL084CN,I1_9_6,26,https://www.ti.com/lit/ds/symlink/tl084.pdf
UC2846,I1_9_6,3,https://www.ti.com/lit/ds/symlink/uc2846.pdf?ts=1751260255816&ref_url=https%253A%252F%252Fwww.google.com%252F
UC2854,I1_9_6,5,https://www.ti.com/lit/ds/symlink/uc2854b-ep.pdf?ts=1751182064826&ref_url=https%253A%252F%252Fwww.google.com%252F
74LS136,I1_9_7,33,https://www.ti.com/lit/ds/symlink/sn74ls136.pdf?ts=1751263515526&ref_url=https%253A%252F%252Fwww.google.com%252F
74HC138,I1_9_7,10,https://assets.nexperia.com/documents/data-sheet/74HC_HCT138.pdf
DM74LS33N,I1_10_1,20,https://agelectronica.lat/pdfs/textos/7/74LS33.PDF
4803,I1_10_1,5,https://www.mouser.com/ds/2/308/FAN4803-1-1191942.pdf?srsltid=AfmBOoqMkcsFZ3MOANY0oGEQR7YyCPVQq35SeDO4k-8CVtKMAsOr-0-M
MAX707,I1_10_1,3,https://www.mouser.com/datasheet/2/308/MAX707-D-75585.pdf?srsltid=AfmBOorplMvd7WvBS3xoy2pZxdhl5tNkWOmwAjXouoM28g1Je6oGHBuw
